Source,Target,Weight
Very Low (0-50K),Expedition,1
Very High (>1M),Durango,1
Very High (>1M),Eldorado,1
Very Low (0-50K),Celica,1
Very High (>1M),TL,1
High (500K-1M),Diamante,1
Very High (>1M),Corolla,1
Very Low (0-50K),Galant,1
High (500K-1M),Malibu,1
Very Low (0-50K),Escort,1
Very Low (0-50K),RL,1
Very Low (0-50K),Pathfinder,1
High (500K-1M),Grand Marquis,1
Very Low (0-50K),323i,1
High (500K-1M),Sebring Coupe,1
High (500K-1M),Forester,1
High (500K-1M),Accent,1
High (500K-1M),Eldorado,1
High (500K-1M),Land Cruiser,1
Medium (200K-500K),Accord,1
Very Low (0-50K),4Runner,1
Very High (>1M),I30,1
High (500K-1M),A4,1
High (500K-1M),Carrera Cabrio,1
High (500K-1M),Jetta,1
High (500K-1M),Viper,1
High (500K-1M),Regal,1
High (500K-1M),LHS,1
Very Low (0-50K),LHS,1
Very High (>1M),LW,1
Medium (200K-500K),3000GT,1
High (500K-1M),SLK230,1
High (500K-1M),Accord,1
High (500K-1M),Civic,1
High (500K-1M),S-Type,1
Very Low (0-50K),S40,1
Very Low (0-50K),Mountaineer,1
Very Low (0-50K),Park Avenue,1
High (500K-1M),Montero Sport,1
Very Low (0-50K),Sentra,1
Very Low (0-50K),Sebring Coupe,1
Very Low (0-50K),S80,1
High (500K-1M),Lumina,1
High (500K-1M),Montero Sport,1
High (500K-1M),Bonneville,1
High (500K-1M),C-Class,1
Very High (>1M),323i,1
High (500K-1M),TL,1
Very High (>1M),Altima,1
Very Low (0-50K),DeVille,1
Very High (>1M),Stratus,1
Very High (>1M),A4,1
High (500K-1M),Cougar,1
High (500K-1M),Malibu,1
High (500K-1M),RL,1
Very High (>1M),SW,1
Very Low (0-50K),C70,1
Very Low (0-50K),Mountaineer,1
High (500K-1M),C-Class,1
Very High (>1M),SLK,1
Very High (>1M),Tacoma,1
Medium (200K-500K),C-Class,1
Medium (200K-500K),M-Class,1
Medium (200K-500K),A6,1
Very High (>1M),Intrepid,1
Very High (>1M),Park Avenue,1
Very Low (0-50K),Viper,1
High (500K-1M),Sienna,1
High (500K-1M),S40,1
Very Low (0-50K),Diamante,1
Very High (>1M),DeVille,1
High (500K-1M),S-Type,1
High (500K-1M),Eclipse,1
Medium (200K-500K),Contour,1
Very High (>1M),Jetta,1
High (500K-1M),Montero Sport,1
Very High (>1M),Town car,1
Medium (200K-500K),Focus,1
Medium (200K-500K),A6,1
High (500K-1M),TL,1
Medium (200K-500K),Pathfinder,1
Very High (>1M),Mustang,1
Very High (>1M),Cutlass,1
Very High (>1M),Corvette,1
Very Low (0-50K),Impala,1
Very High (>1M),Cabrio,1
Very High (>1M),Dakota,1
Very Low (0-50K),300M,1
Very Low (0-50K),328i,1
Very High (>1M),Bravada,1
Very High (>1M),Maxima,1
Very Low (0-50K),Ram Pickup,1
Very High (>1M),Concorde,1
Very Low (0-50K),300M,1
Very High (>1M),V70,1
Very Low (0-50K),Quest,1
Very High (>1M),LHS,1
Very Low (0-50K),Accord,1
